id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
92,"얼음|330 ml,앱솔루트 라임|60 ml,토닉 워터|20 ml,라임 주스|2 슬라이스,라임",32,0,vodka,2,5,22
93,"잘게 부순 얼음|630 ml,앱솔루트 보드카|3.76 ml,스카치 위스키|20 ml,슈가시럽|8 조각,레몬|6 조각,파인애플|6 잎,세이지",38,1,vodka|whisky,2,3,20
94,"잘게 부순 얼음|480 ml,앱솔루트 보드카|1.88 ml,블랙 커런트 리큐어|1.88 ml,슈가시럽|0.94 ml,라임|5 개,라즈베리|1 개,블랙베리",39,0,vodka,2,1,14
95,"얼음|480 ml,앱솔루트 페퍼|510 ml,토마토 주스|2.82 ml,핫 소스|1.88 ml,우스터 소스|7.5 ml,레몬 주스|7.5 ml,라임 주스|1 꼬집,블랙페퍼 가루|1 꼬집,소금|1 개,셀러리|1 웨지,레몬",18,4,vodka,4,1,14
96,"얼음|30 ml,앱솔루트 보드카|15 ml,멜론 리큐어|파인애플 주스|1 웨지,멜론",33,6,vodka,4,3,14
97,"얼음|480 ml,앱솔루트 워터멜론|480 ml,레몬 주스|15 ml,슈가시럽|3 조각,수박|소다수|민트",18,0,vodka,4,1,22
98,"얼음|480 ml,앱솔루트 주스 페어 & 엘더플라워|60 ml,레몬에이드|60 ml,하드 사이다",28,1,vodka|whisky,3,3,22
99,"얼음|30 ml,앱솔루트 보드카|60 ml,진저엘|1 개,민트잎|1 웨지,레몬",13,2,vodka,2,3,22
100,"얼음|480 ml,앱솔루트 그레이프프루트|90 ml,자몽주스|1 개,자몽 껍질",33,2,vodka,4,3,14
101,"얼음|480 ml,앱솔루트 바니리아|10 ml,라임 주스|사이다|1 웨지,라임",37,0,vodka,4,3,14
102,"얼음|480 ml,앱솔루트 그레이프프루트|120 ml,토닉 워터|1 웨지,그레이프프루트",32,0,vodka,4,3,14
103,"얼음|22.5 ml,앱솔루트 페어|15 ml,레몬 주스|7.5 ml,슈가시럽|1 슬라이스,배",20,8,vodka,2,3,13
